original_cname,mapped_cname
AMS3000,# Inq w/in 3 M
AMS3001,# Inq w/in 12 M
AMS3002,# Inq w/in 24 M
AMS3008,# Non-Util Inq w/in 1 Month
AMS3009,# Non-Util Inq w/in 3 M
AMS3010,# Non-Util Inq w/in 12 M
AMS3011,# Non-Util Inq w/in 24 M
AMS3012,% Inq w/in 1 Month to Inq w/in 12 M
AMS3013,% Inq w/in 1 Month to Inq w/in 24 M
AMS3014,% Util Inq w/in 3 M to Inq w/in 12 M
AMS3015,% Util Inq w/in 3 M to Inq w/in 24 M
AMS3016,% Util Inq w/in 12 M to Inq w/in 24 M
AMS3017,% Util Inq w/in 1 Month to Inq w/in 12 M
AMS3018,% Util Inq w/in 1 Month to Inq w/in 24 M
AMS3019,% Non-Util Inq w/in 3 M to Inq w/in 12 M
AMS3020,% Non-Util Inq w/in 3 M to Inq w/in 24 M
AMS3021,% Non-Util Inq w/in 12 M to Inq w/in 24 M
AMS3022,% Non-Util Inq w/in 1 Month to Inq w/in 12 M
AMS3023,% Non-Util Inq w/in 1 Month to Inq w/in 24 M
AMS3024,# Inq w/in 6 M
AMS3025,# Util Inq w/in 6 M
AMS3026,# Non-Util Inq w/in 6 M
AMS3027,# Inq w/in 1 Month
AMS3028,# Util Inq w/in 1 Month
AMS3029,# Util Inq w/in 3 M
AMS3030,# Util Inq w/in 12 M
AMS3031,# Util Inq w/in 24 M
AMS3100,# Trades
AMS3101,# of Auto Trades
AMS3102,# Bkcrd Trades
AMS3104,# Dept Store Trades
AMS3105,# Inst Trades
AMS3109,# Rev Trades
AMS3111,Age Oldest Trade
AMS3113,Age Oldest Bkcrd Trade
AMS3116,Age Oldest Inst Trade
AMS3117,Age Oldest Mortgage Trade
AMS3119,Age Oldest Retail Trade
AMS3120,Age Oldest Rev Trade
AMS3122,Age Newest Trade
AMS3123,Age Newest Auto Trade
AMS3124,Age Newest Bkcrd Trade
AMS3126,Age Newest Dept Store Trades
AMS3127,Age Newest Inst Trade
AMS3131,Age Newest Retail Trade
AMS3132,Age Newest Sales Finance Trade
AMS3133,# Trades Opened w/in 6 M
AMS3134,# Rev Trades Opened w/in 6 M
AMS3135,# Trades Opened w/in 12 M
AMS3136,# Inst Trades Opened w/in 12 M
AMS3137,# Open Trades
AMS3138,# Open Auto Trades
AMS3139,# Open Bkcrd Trades
AMS3140,# Open Credit Union Trades
AMS3141,# Open Dept Store Trades
AMS3142,# Open Inst Trades
AMS3143,# Open Mortgage Trades
AMS3144,# Open PerFin and StuLoan Trades
AMS3145,# Open Retail Trades
AMS3146,# Open Rev Trades
AMS3147,# Open Sales Finance Trades
AMS3148,# Trades w/Update w/in 3 M w/ Bal > $0 
AMS3150,# Bkcrd Trades w/Update w/in 3 M w/ Bal > $0 
AMS3152,# Dept Store Trades w/Update w/in 3 M w/ Bal > $0 
AMS3153,# Inst Trades w/Update w/in 3 M w/ Bal > $0 
AMS3157,# Rev Trades w/Update w/in 3 M w/ Bal > $0 
AMS3158,# Retail Trades w/Update w/in 3 M w/ Bal > $0 
AMS3159,T Bal Open Trades w/Update w/in 3 M
AMS3160,T Bal Open Auto Trades w/Update w/in 3 M
AMS3161,T Bal Open Bkcrd Trades w/Update w/in 3 M
AMS3162,T Bal Open Credit Union Trades w/Update w/in 3 M
AMS3163,T Bal Open Dept Store Trades w/Update w/in 3 M
AMS3164,T Bal Open Inst Trades w/Update w/in 3 M
AMS3165,T Bal Open Mortgage Trades w/Update w/in 3 M
AMS3166,T Bal Open PerFin and StuLoan Trades w/Update w/in 3 M
AMS3167,T Bal Open Retail Trades w/Update w/in 3 M
AMS3168,T Bal Open Rev Trades w/Update w/in 3 M
AMS3169,T Bal Open Sales Finance Trades w/Update w/in 3 M
AMS3174,T Bal Open StuLoan Trades w/Update w/in 3 M
AMS3175,# StuLoan Trades
AMS3176,# Defaulted StuLoan Trades
AMS3177,# Mortgage Trades
AMS3178,# Retail Trades
AMS3181,T Bal Closed Trades w/Update w/in 3 M
AMS3183,T Bal Closed Bkcrd Trades w/Update w/in 3 M
AMS3184,T Bal Closed Credit Union Trades w/Update w/in 3 M
AMS3185,T Bal Closed Dept Store Trades w/Update w/in 3 M
AMS3188,T Bal Closed PerFin and StuLoan Trades w/Update w/in 3 M
AMS3189,T Bal Closed Retail Trades w/Update w/in 3 M
AMS3190,T Bal Closed Rev Trades w/Update w/in 3 M
AMS3191,T Bal Closed Sales Finance Trades w/Update w/in 3 M
AMS3192,# Trades Opened w/in 3 M
AMS3193,# Inst Trades Opened w/in 6 M
AMS3194,# Rev Trades Opened w/in 12 M
AMS3195,Age Newest Mortgage Trade
AMS3202,T Loan Amount Open StuLoan Trades w/Update w/in 3 M
AMS3203,T Loan Amount Open Auto Trades w/Update w/in 3 M
AMS3204,T High Credit Open Bkcrd Trades w/Update w/in 3 M
AMS3205,T High Credit Open Dept Store Trades w/Update w/in 3 M
